TABLE_NAME,PKCOLUMNNAME,RTABLE,RCOLUMNNAME
SF_GEOMETRY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SF_DISPOSAL,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SF_COMPONENT,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SEIS_STREAMER_BUILD,SOURCE,R_SOURCE,SOURCE
SEIS_SP_SURVEY,SOURCE,R_SOURCE,SOURCE
SEIS_VELOCITY_VOLUME,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SEIS_SET_STATUS,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SEIS_SET,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SEIS_SEGMENT,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SEIS_POINT_VERSION,SOURCE,R_SOURCE,SOURCE
SEIS_POINT,SOURCE,R_SOURCE,SOURCE
SEIS_INTERP_COMP,SOURCE,R_SOURCE,SOURCE
SEIS_LINE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SEIS_INTERP_COMP,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
SEIS_BIN_POINT_TRACE,SOURCE,R_SOURCE,SOURCE
SEIS_ACTIVITY,SOURCE,R_SOURCE,SOURCE
SEIS_ACQTN_SURVEY,SOURCE,R_SOURCE,SOURCE
R_WELL_RELATIONSHIP,SOURCE,R_SOURCE,SOURCE
SAMPLE_WATER_ANALYSIS,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_WELL_DRILL_OP_TYPE,SOURCE,R_SOURCE,SOURCE
R_WELL_CIRC_PRESS_TYPE,SOURCE,R_SOURCE,SOURCE
R_WELL_ACTIVITY_CAUSE,SOURCE,R_SOURCE,SOURCE
R_WATER_CONDITION,SOURCE,R_SOURCE,SOURCE
R_WASTE_ORIGIN,SOURCE,R_SOURCE,SOURCE
R_WELL_LIC_VIOL_RESOL,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_WELL_LIC_DUE_CONDITION,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_WELL_CLASS,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_WELL_ALIAS_LOCATION,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_WASTE_ORIGIN,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_TEST_PERIOD_TYPE,SOURCE,R_SOURCE,SOURCE
R_TEST_EQUIPMENT,SOURCE,R_SOURCE,SOURCE
R_VELOCITY_COMPUTE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_TOUR_OCCURRENCE_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_STRAT_UNIT_QUALIFIER,SOURCE,R_SOURCE,SOURCE
R_STRAT_TOPO_RELATION,SOURCE,R_SOURCE,SOURCE
R_STRAT_CORR_CRITERIA,SOURCE,R_SOURCE,SOURCE
R_STRAT_INTERP_METHOD,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_SP_ZONE_DERIV,SOURCE,R_SOURCE,SOURCE
R_SF_BRIDGE_TYPE,SOURCE,R_SOURCE,SOURCE
R_SF_STATUS,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_SF_BRIDGE_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_SEVERITY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_SEIS_PROC_STATUS,SOURCE,R_SOURCE,SOURCE
R_SEIS_REF_DATUM,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_SEIS_BIN_OUTLINE_TYPE,SOURCE,R_SOURCE,SOURCE
R_ROYALTY_TYPE,SOURCE,R_SOURCE,SOURCE
R_SAMPLE_DESC_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_ROAD_CONTROL_TYPE,SOURCE,R_SOURCE,SOURCE
R_RMII_DEFICIENCY,SOURCE,R_SOURCE,SOURCE
R_RMII_CONTACT_TYPE,SOURCE,R_SOURCE,SOURCE
R_ROAD_TRAFFIC_FLOW_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_RMII_STATUS_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_RIG_OVERHEAD_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_RIG_HOOKBLOCK_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_REST_DURATION,SOURCE,R_SOURCE,SOURCE
R_RIG_CATEGORY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_RETENTION_PERIOD,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_REST_ACTIVITY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_RESENT_CONFIDENCE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_REMARK_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_RATIO_FLUID_TYPE,SOURCE,R_SOURCE,SOURCE
R_PROJECTION_TYPE,SOURCE,R_SOURCE,SOURCE
R_PRODUCT_COMPONENT_TYPE,SOURCE,R_SOURCE,SOURCE
R_RATE_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_PRODUCT_COMPONENT_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_PPDM_RULE_STATUS,SOURCE,R_SOURCE,SOURCE
R_PPDM_RULE_DETAIL_TYPE,SOURCE,R_SOURCE,SOURCE
R_PPDM_RULE_COMP_TYPE,SOURCE,R_SOURCE,SOURCE
R_PPDM_QC_STATUS,SOURCE,R_SOURCE,SOURCE
R_PPDM_OWNER_ROLE,SOURCE,R_SOURCE,SOURCE
R_PPDM_METRIC_TYPE,SOURCE,R_SOURCE,SOURCE
R_PPDM_INDEX_CATEGORY,SOURCE,R_SOURCE,SOURCE
R_PPDM_GROUP_XREF_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_PERIOD_TYPE,SOURCE,R_SOURCE,SOURCE
R_PDEN_STATUS_TYPE,SOURCE,R_SOURCE,SOURCE
R_PPDM_FAIL_RESULT,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_PPDM_AUDIT_REASON,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_POOL_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_PERIOD_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_PDEN_STATUS_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_PDEN_AMEND_REASON,SOURCE,R_SOURCE,SOURCE
R_PAY_DETAIL_TYPE,SOURCE,R_SOURCE,SOURCE
R_PAL_SUM_XREF_TYPE,SOURCE,R_SOURCE,SOURCE
R_PAL_SUM_COMP_TYPE,SOURCE,R_SOURCE,SOURCE
R_PALEO_TYPE_FOSSIL,SOURCE,R_SOURCE,SOURCE
R_ORIENTATION,SOURCE,R_SOURCE,SOURCE
R_ONTOGENY_TYPE,SOURCE,R_SOURCE,SOURCE
R_OFFSHORE_COMP_TYPE,SOURCE,R_SOURCE,SOURCE
R_PDEN_STATUS,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_OBLIG_PAY_RESP,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_MISC_DATA_CODE,SOURCE,R_SOURCE,SOURCE
R_MEASURE_TECHNIQUE,SOURCE,R_SOURCE,SOURCE
R_LOG_INDEX_TYPE,SOURCE,R_SOURCE,SOURCE
R_LOG_DIRECTION,SOURCE,R_SOURCE,SOURCE
R_LOG_DEPTH_TYPE,SOURCE,R_SOURCE,SOURCE
R_LOG_ARRAY_DIMENSION,SOURCE,R_SOURCE,SOURCE
R_LR_XREF_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_LOG_INDEX_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_LOCATION_QUALITY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_LITH_STRUCTURE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_LITH_ABUNDANCE,SOURCE,R_SOURCE,SOURCE
R_LITH_PREP_CLASS,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_LITH_INTENSITY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_LITH_ABUNDANCE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_LITHOLOGY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_LINER_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_LAND_CASE_ACTION,SOURCE,R_SOURCE,SOURCE
R_ITEM_CATEGORY,SOURCE,R_SOURCE,SOURCE
R_LAND_TRACT_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_HOLE_CONDITION,SOURCE,R_SOURCE,SOURCE
R_INT_SET_COMPONENT,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_INCIDENT_SUBSTANCE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_HSE_INCIDENT_DETAIL,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_HSE_INCIDENT_COMP_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_FOS_TAI_COLOR,SOURCE,R_SOURCE,SOURCE
R_FLUID_TYPE,SOURCE,R_SOURCE,SOURCE
R_FIELD_STATION_TYPE,SOURCE,R_SOURCE,SOURCE
R_FOS_TAI_COLOR,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_FOS_OBS_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_FIN_COMPONENT_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_EQUIP_XREF_TYPE,SOURCE,R_SOURCE,SOURCE
R_EQUIP_SPEC,SOURCE,R_SOURCE,SOURCE
R_FACILITY_SPEC_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_EW_DIRECTION,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_EQUIP_USE_STAT_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_ENT_COMPONENT_TYPE,SOURCE,R_SOURCE,SOURCE
R_EMPLOYEE_STATUS,SOURCE,R_SOURCE,SOURCE
R_DRILL_HOLE_POSITION,SOURCE,R_SOURCE,SOURCE
R_DRILL_BIT_JET_TYPE,SOURCE,R_SOURCE,SOURCE
R_ENT_ACCESS_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_DIGITAL_FORMAT,SOURCE,R_SOURCE,SOURCE
R_DECLINE_TYPE,SOURCE,R_SOURCE,SOURCE
R_DECLINE_CURVE_TYPE,SOURCE,R_SOURCE,SOURCE
R_DECLINE_COND_CODE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_CUSHION_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_CORE_SOLVENT,SOURCE,R_SOURCE,SOURCE
R_CONT_XREF_TYPE,SOURCE,R_SOURCE,SOURCE
R_CONT_INSUR_ELECT,SOURCE,R_SOURCE,SOURCE
R_CONT_EXTEND_TYPE,SOURCE,R_SOURCE,SOURCE
R_CONT_XREF_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_CONSULT_ISSUE_TYPE,SOURCE,R_SOURCE,SOURCE
R_CONSENT_STATUS,SOURCE,R_SOURCE,SOURCE
R_CONSENT_REMARK,SOURCE,R_SOURCE,SOURCE
R_CONTEST_PARTY_ROLE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_CONSULT_RESOLUTION,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_CONFIDENCE_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_COMPLETION_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_CEMENT_TYPE,SOURCE,R_SOURCE,SOURCE
R_BUILDUP_RADIUS_TYPE,SOURCE,R_SOURCE,SOURCE
R_BIT_REASON_PULLED,SOURCE,R_SOURCE,SOURCE
R_CLASS_LEV_COMP_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_BIT_REASON_PULLED,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_BA_LIC_VIOLATION_TYPE,SOURCE,R_SOURCE,SOURCE
R_BA_CREW_OVERHEAD_TYPE,SOURCE,R_SOURCE,SOURCE
R_BA_PERMIT_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_BA_LIC_VIOL_RESOL,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_AUTHOR_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_APPLICATION_COMP_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_ALIAS_REASON_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
R_ADDRESS_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
RM_PHYS_ITEM_ORIGIN,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
RM_INFO_ITEM_STATUS,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
RM_INFO_ITEM_ORIGIN,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
RM_INFO_ITEM_GEOMETRY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
RM_INFORMATION_ITEM,SOURCE,R_SOURCE,SOURCE
RM_IMAGE_LOC,SOURCE,R_SOURCE,SOURCE
RESERVE_CLASS_FORMULA,SOURCE,R_SOURCE,SOURCE
RESERVE_CLASS_CALC,SOURCE,R_SOURCE,SOURCE
RESERVE_CLASS,SOURCE,R_SOURCE,SOURCE
RM_ENCODING,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
RESERVE_ENTITY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
REPORT_HIER_ALIAS,SOURCE,R_SOURCE,SOURCE
PR_STR_FORM_STAT_HIST,SOURCE,R_SOURCE,SOURCE
REPORT_HIER_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
REPORT_HIER_DESC,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PROJ_STEP_CONDITION,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PROJECT_STEP_TIME,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PPDM_UNIT_OF_MEASURE,SOURCE,R_SOURCE,SOURCE
PROJECT_PLAN_STEP_XREF,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PROD_STRING_ALIAS,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PPDM_SYSTEM,SOURCE,R_SOURCE,SOURCE
PPDM_SCHEMA_ENTITY_ALIAS,SOURCE,R_SOURCE,SOURCE
PPDM_RULE_ENFORCEMENT,SOURCE,R_SOURCE,SOURCE
PPDM_PROPERTY_SET,SOURCE,R_SOURCE,SOURCE
PPDM_GROUP_OWNER,SOURCE,R_SOURCE,SOURCE
PPDM_GROUP_OBJECT,SOURCE,R_SOURCE,SOURCE
PPDM_SCHEMA_GROUP,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PPDM_SCHEMA_ENTITY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PPDM_QUANTITY_ALIAS,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PPDM_MAP_DETAIL,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PPDM_COLUMN_ALIAS,SOURCE,R_SOURCE,SOURCE
POOL_ALIAS,SOURCE,R_SOURCE,SOURCE
PPDM_CONS_COLUMN,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PPDM_CODE_VERSION_COLUMN,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PPDM_CHECK_CONS_VALUE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PPDM_AUDIT_HISTORY,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
POOL_ALIAS,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PDEN_VOL_REGIME,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PALEO_SUM_XREF,SOURCE,R_SOURCE,SOURCE
PDEN_OPER_HIST,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PDEN_DECLINE_SEGMENT,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PDEN_DECLINE_CASE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PDEN_COMPONENT,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PDEN_ALLOC_FACTOR,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PALEO_SUM_XREF,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PALEO_SUM_COMP,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PALEO_OBS_QUALIFIER,SOURCE,R_SOURCE,SOURCE
PALEO_INTERP,SOURCE,R_SOURCE,SOURCE
PALEO_FOSSIL_IND,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
PALEO_ABUND_SCHEME,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
OBLIG_TYPE,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
OBLIG_PAY_DETAIL,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
OBLIG_DEDUCT_CALC,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
NOTIF_BA,SOURCE,R_SOURCE,SOURCE
LEGAL_TEXAS_LOC,SOURCE,R_SOURCE,SOURCE
LITH_SAMPLE_PREP_METH,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
LITH_LOG,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
LITH_DEP_ENV_INT,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
LEGAL_OFFSHORE_LOC,SOURCE,R_SOURCE,SOURCE
LEGAL_CONGRESS_LOC,SOURCE,R_SOURCE,SOURCE
LAND_STATUS,SOURCE,R_SOURCE,SOURCE
LAND_SIZE,SOURCE,R_SOURCE,SOURCE
LAND_SALE_WORK_BID,SOURCE,R_SOURCE,SOURCE
LEGAL_NTS_LOC,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
LAND_XREF,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
LAND_RIGHT_POOL,SOURCE,R_SOURCE,SOURCE
LAND_RIGHT_BA_LIC,SOURCE,R_SOURCE,SOURCE
LAND_OCCUPANT,SOURCE,R_SOURCE,SOURCE
LAND_AGREEMENT,SOURCE,R_SOURCE,SOURCE
LAND_RIGHT_WELL,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
LAND_RIGHT_COMPONENT,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
LAND_RIGHT_BA_LIC,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
LAND_RIGHT_APPLIC,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
LAND_OCCUPANT,ROW_QUALITY,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID
